id,merged_title,merged_course_id,category,category_id,required_course1,required_course2,required_course3
38,Advancing Learning Through Evidence-Based STEM Teaching,course-v1:BUx+CIRTL.2x+3T2016,教育,12,0,0,0
39,Agile Development Using Ruby on Rails - Advanced,course-v1:BerkeleyX+CS169.2x+1T2017SP,计算机,22,0,0,0
40,Agile Development Using Ruby on Rails - Basics,course-v1:BerkeleyX+CS169.1x+1T2017SP,计算机,22,898,1114,898
41,Agile Software Development,course-v1:ETHx+ASD.1x+2016_T1,计算机,22,0,0,0
42,AGRIMONITOR: Agricultural policy food security and climate change,course-v1:IDBx+IDB13.1x+3T2016,其他,1,0,0,0
43,AGRIMONITOR: política agropecuaria seguridad alimentaria y cambio climático,course-v1:IDBx+IDB13x+2T2017,其他,1,0,0,0
44,Agua en América Latina: Abundancia en medio de la escasez mundial,course-v1:IDBx+IDB3x+1T2017,环境·地球,16,0,0,0
45,Air Safety Investigation,course-v1:DelftX+AEASM513x+3T2016,工程,9,168,169,83
46,Algèbre Linéaire (Partie 1),course-v1:EPFLx+AlgebreX+1T2017,数学,13,0,0,0
47,Algèbre Linéaire (Partie 2),course-v1:EPFLx+Algebre2X+1T2017,数学,13,46,0,0
48,Algèbre Linéaire (Partie 3),course-v1:EPFLx+Algebre3X+1T2017,数学,13,47,0,0
49,Algorithm Design and Analysis,course-v1:PennX+SD3x+2T2017,计算机,22,671,214,0
50,Algorithms,course-v1:IITBombayX+CS213.3x+1T2017,计算机,22,494,418,0
51,American Government,course-v1:HarvardX+HKS101A+1T2017,社科·法律,19,0,0,0
52,An Exploration to the Original Spirit of Western Philosophy,course-v1:TsinghuaX+10691193X+2017_T1,哲学,6,0,0,0
53,An Introduction to Credit Risk Management,course-v1:DelftX+TW3421x+3T2016,经管·会计,20,0,0,0
54,An Introduction to Evidence-Based Undergraduate STEM Teaching,course-v1:BUx+CIRTL.1x+3T2016,教育,12,0,0,0
55,Analytics for Decision Making,course-v1:BabsonX+BPET.STATx+2T2017,经管·会计,20,664,582,663
56,Analytics for the Classroom Teacher,course-v1:CurtinX+EDU1x+3T2016,教育,12,0,0,0
57,Analytics in Python,course-v1:ColumbiaX+BAMM.101x+2T2017,计算机,22,572,283,1053
58,Analyzing and Visualizing Data with Excel,course-v1:Microsoft+DAT206x+6T2016,计算机,22,738,742,740
59,Analyzing and Visualizing Data with Power BI,course-v1:Microsoft+DAT207x+6T2016,计算机,22,457,376,499
60,Analyzing and Visualizing Data with SQL Server Reporting Services,course-v1:Microsoft+DAT214x+1T2017,计算机,22,879,0,0
61,Analyzing Big Data with Microsoft R Server,course-v1:Microsoft+DAT213x+2T2017,计算机,22,602,857,856
62,Android App Development for Beginners,course-v1:GalileoX+CAAD002X+1T2017,计算机,22,621,0,0
63,Android: Introducción a la Programación,course-v1:UPValenciaX+AIP201x+1T2017,计算机,22,0,0,0
64,AngularJS: Advanced Framework Techniques,course-v1:Microsoft+DEV221x+3T2016,计算机,22,65,0,0
65,AngularJS: Framework Fundamentals,course-v1:Microsoft+DEV220x+3T2016,计算机,22,0,0,0
66,Animation and CGI Motion,course-v1:ColumbiaX+CSMM.104x+1T2017,计算机,22,223,223,898
67,Antarctica: From Geology to Human History,course-v1:VictoriaX+ICE101x+1T2017,环境·地球,16,0,0,0
68,Anthropology of Current World Issues,course-v1:UQx+World101x+1T2017,社科·法律,19,0,0,0
69,AP Computer Science A: Java Programming Classes and Objects,course-v1:PurdueX+CS180.3x+1T2017,计算机,22,70,71,211
70,AP Computer Science A: Java Programming Data Structures and Loops,course-v1:PurdueX+CS180.2x+3T2016,计算机,22,69,71,825
71,AP Computer Science A: Java Programming Polymorphism and Advanced Data Structures,course-v1:PurdueX+CS180.4x+1T2017,计算机,22,69,70,1072
72,AP Physics 1,course-v1:RICEx+AdvPHY1x+2T2016,物理,15,663,0,0
73,AP*备考——环境科学，第二部分: 种群,RiceX/AdvENVSCI_2x/_,环境·地球,16,76,0,0
74,AP*备考——环境科学，第三部分: 污染和资源,RiceX/AdvENVSCI_3x/_,环境·地球,16,73,0,0
75,AP*备考——环境科学，第四部分: 考试复习,course-v1:RiceX+AdvENVSCI_4x+_,环境·地球,16,74,0,0
76,AP*备考——环境科学，第一部分: 生物界,RiceX/AdvENVSCI_1x/_,环境·地球,16,99,0,0
77,AP*备考——生物学，第二部分: 遗传学,RiceX/AdvBIO_2x/_,生命科学,17,81,0,0
78,AP*备考——生物学，第三部分: 演化和多样性,course-v1:RiceX+AdvBIO_3x+_,生命科学,17,77,0,0
79,AP*备考——生物学，第四部分: 生态学,course-v1:RiceX+AdvBIO_4x+_,生命科学,17,78,0,0
80,AP*备考——生物学，第五部分: 复习及考前准备,course-v1:RiceX+AdvBIO_5x+_,生命科学,17,79,0,0
81,AP*备考——生物学，第一部分: 细胞,RiceX/AdvBIO_1x/_,生命科学,17,0,0,0
82,AP? Calculus BC,course-v1:DavidsonNext+Cal_APBCx+3T2016,数学,13,0,0,0
83,AP? Calculus: Challenging Concepts from Calculus AB & Calculus BC,course-v1:DavidsonNext+Cal_APccx+2T2016,数学,13,0,0,0
84,AP? Computer Science Principles,course-v1:HarvardX+CS50+AP,计算机,22,0,0,0
85,AP? English Literature & Composition – Part 1: Stories,course-v1:BerkeleyX+ColWri11.1x+3T2016,外语,7,0,0,0
86,AP? English Literature & Composition – Part 2: Poems,course-v1:BerkeleyX+ColWri11.2x+1T2017,外语,7,85,0,0
87,AP? English Literature & Composition – Part 3: Plays,course-v1:BerkeleyX+ColWri11.3x+1T2017,外语,7,87,0,0
88,AP? Macroeconomics,course-v1:DavidsonNext+Mac_APfull+2T2016,经管·会计,20,0,0,0
89,AP? Macroeconomics: Challenging Concepts,course-v1:DavidsonNext+Mac_APccx+2T2016,经管·会计,20,0,0,0
90,AP? Spanish Language and Culture,course-v1:BUx+SpanishX+1T2017,外语,7,0,0,0
91,AP??Physics 1: Challenging Concepts,course-v1:DavidsonNext+Phy_APccx+2T2016,物理,15,0,0,0
92,AP??Physics 2: Challenging Concepts,course-v1:DavidsonNext+Phy2_APccx+2T2016,物理,15,91,0,0
93,Aplicaciones de la Teoría de Grafos a la Vida Real (I),course-v1:UPValenciaX+TGV201x.1+2T2017,数学,13,0,0,0
94,Aplicaciones de la Teoría de Grafos a la vida real II,course-v1:UPValenciaX+TGV201x.2+2T2017,数学,13,93,872,533
95,Apnea y Trastornos del Sue?o,course-v1:JaverianaX+ApnTra.1602x.05+3T2016,医学·健康,4,0,0,0
96,App Inventor应用开发,HVMOOC/0123/2015_01_01,计算机,22,0,0,0
97,Aprendizaje y Ense?anza Virtual,course-v1:GalileoX+CET001X+3T2016,教育,12,0,0,0
98,Aproximación Neuropsicológica de la Lecto-Escritura en la etapa escolar,course-v1:JaverianaX+NEU2.0x+1T2017,哲学,6,0,0,0
99,AP环境科学-1,course-v1:dongguan+zhongshen005+20161223,环境·地球,16,0,0,0
100,Architecting Microsoft Azure Solutions,course-v1:Microsoft+DEV205Bx+3T2016,计算机,22,724,66,137
101,ARM微控制器与嵌入式系统,course-v1:TsinghuaX+20320074X+2017_T1,电子,18,639,252,164
102,Artful Medicine: Art’s Power to Enrich Patient Care,course-v1:BrownX+MED101x+2T2017,医学·健康,4,0,0,0
103,Artificial Intelligence (AI),course-v1:ColumbiaX+CSMM.101x+1T2017,计算机,22,1053,544,1038
104,Asociaciones Público Privadas: Implementando Soluciones en Latinoamérica y el Caribe,course-v1:IDBx+IDB8x+2T2017,经管·会计,20,0,0,0
105,Asynchronous Programming with JavaScript,course-v1:Microsoft+DEV234x+1T2017,计算机,22,576,0,0
106,Atomic and Optical Physics: Atom-photon interactions,course-v1:MITx+8.422.2x+1T2017,物理,15,0,0,0
107,Atomic and Optical Physics: Light Forces and Laser Cooling,course-v1:MITx+8.422.4x+2T2017,物理,15,106,0,0
108,Atomic and Optical Physics: Optical Bloch Equations and Open System Dynamics,course-v1:MITx+8.422.3x+1T2017,物理,15,107,0,0
109,Atomic and Optical Physics: Quantum States and Dynamics of Photons,course-v1:MITx+8.422.1x+1T2017,物理,15,108,0,0
110,Atomic and Optical Physics: Ultracold Atoms and Many-body Physics,course-v1:MITx+8.422.5x+2T2017,物理,15,109,0,0
111,Autonomous Mobile Robots,course-v1:ETHx+AMRx+2T2017,电子,18,0,0,0
112,Awareness-Based Systems Change with u.lab - How to Sense and Actualize the Future,course-v1:MITx+15.671.0x+2T2016,哲学,6,0,0,0
113,AWS公开课,course-v1:Amazon+20170526X+2017_sp,计算机,22,0,0,0
114,Azure for On-Premises Administrators,course-v1:Microsoft+INF216x+2T2017,计算机,22,457,408,1053
115,Azure Networks,course-v1:Microsoft+AZURE203x+3T2016,计算机,22,0,0,0
116,Azure Storage,course-v1:Microsoft+AZURE205x+3T2016,计算机,22,0,0,0
117,Bases Matemáticas: álgebra,course-v1:UPValenciaX+BMA101x+1T2017,数学,13,0,0,0
118,Bases Matemáticas: Derivadas,course-v1:UPValenciaX+BMD101x+2T2017,数学,13,0,0,0
119,Bases Matemáticas: Integrales,course-v1:UPValenciaX+BMI101x+2T2017,数学,13,332,454,493
120,Bases Matemáticas: Números y terminología,course-v1:UPValenciaX+BMN101x+1T2017,数学,13,0,0,0
121,Basic Mandarin Chinese – Level 2,course-v1:MandarinX+MX102x+2T2017,外语,7,0,0,0
122,Basic Mandarin Chinese – Level 3,course-v1:MandarinX+MX103x+1T2017,外语,7,460,749,832
123,Basic Spanish 1: Getting Started,course-v1:UPValenciaX+BSP101x+1T2017,外语,7,0,0,0
124,Basic Spanish 2: One Step Further,course-v1:UPValenciaX+BSP102x+2T2017,外语,7,123,0,0
125,Bassions la Chaleur: de la science à l’action climatique,course-v1:WBGx+CCF01x+3T2017,环境·地球,16,0,0,0
126,Becoming a Successful Leader (Inclusive Leadership Training),course-v1:CatalystX+ILX2+2T2017,经管·会计,20,0,0,0
127,Becoming an Entrepreneur,course-v1:MITx+Launch.x_3+1T2017,经管·会计,20,0,0,0
128,Behavioral Medicine: A Key to Better Health,course-v1:KIx+KIBEHMEDx+3T2016,医学·健康,4,0,0,0
129,Best Practices for Project Management Success,course-v1:RITx+PM9002x+1T2017,经管·会计,20,749,832,796
130,Big Bang and the Origin of Chemical Elements,course-v1:SNUx+SNUM1409.000300.2x+3T2016,化学,3,0,0,0
131,Big Data Analytics,course-v1:AdelaideX+AnalysisX+3T2017,计算机,22,135,0,0
132,Big Data Analytics Using Spark,course-v1:UCSanDiegoX+DSE230x+1T2018,计算机,22,437,969,826
133,Big Data and Education,course-v1:PennX+BDE1x+1T2017,计算机,22,1053,0,0
134,Big Data Capstone Project,course-v1:AdelaideX+DataCapX+3T2017,计算机,22,131,132,135
135,Big Data Fundamentals,course-v1:AdelaideX+BigDataX+3T2017,计算机,22,0,0,0
136,Biobased Principles and Opportunities,course-v1:WageningenX+BB01x+1T2017,生命科学,17,0,0,0
137,Biobased Processes and Implementation,course-v1:WageningenX+BB02x+1T2017,生命科学,17,0,0,0
138,Biobased Sciences for Sustainability Capstone,course-v1:WageningenX+BB06x+3T2017,生命科学,17,327,714,225
139,Bioengineering: Cellular Design Principles,course-v1:PurdueX+nano545x+1T2017,生命科学,17,0,0,0
140,Bioethics: The Law Medicine and Ethics of Reproductive Technologies and Genetics,course-v1:HarvardX+HLS4X+1T2017,生命科学,17,0,0,0
141,Biospecimen Research Methods,course-v1:UBCx+Biobank1x+1T2017,生命科学,17,457,1106,172
142,Biostatistics for Big Data Applications,course-v1:UTMBx+STAT101x+3T2016,计算机,22,0,0,0
143,Blended Learning with edX,course-v1:edX+BlendedX+3T2016,教育,12,0,0,0
144,Build Web APIs using ASP.NET,course-v1:Microsoft+DEV247x+2T2017,计算机,22,0,0,0
145,Building a Cybersecurity Toolkit,course-v1:UWashingtonX+CYB003x+1T2017,计算机,22,0,0,0
146,Building Functional Prototypes using Node.js,course-v1:Microsoft+DEV280x+2T2017,计算机,22,292,147,0
147,Building Interactive Prototypes using JavaScript,course-v1:Microsoft+DEV279x+2T2017,计算机,22,0,0,0
148,Building Your Azure Skills Toolkit,course-v1:Microsoft+DEV224x+2T2017,计算机,22,0,1053,0
149,Buscar en Internet,course-v1:UPValenciaX+BI101x+1T2017,计算机,22,166,633,439
150,Business Accounting Basics,course-v1:PurdueX+PN-17.1+1T2017,经管·会计,20,0,0,0
151,Business Analytics for Data-Driven Decision Making,course-v1:BUx+QD602x+1T2018,经管·会计,20,0,0,0
152,Business Analytics: Theory and Practice,course-v1:ColumbiaX+BAMM.103x+3T2017,经管·会计,20,0,0,0
153,Business and Data Analysis Skills,course-v1:FullbridgeX+Career4x+3T2016,经管·会计,20,0,0,0
154,Business Model Implementation,course-v1:DelftX+BMI.4x+2T2017,经管·会计,20,66,724,1015
155,Business Model Metrics and Advanced Tools,course-v1:DelftX+BMI.5x+3T2017,经管·会计,20,898,1114,898
156,Business Model Testing,course-v1:DelftX+BMI.3x+1T2017,经管·会计,20,66,724,1015
157,Business Strategy from Wharton: Competitive Advantage,course-v1:Wharton+StrategyX+3T2016,经管·会计,20,0,0,0
158,Buyer Behaviour and Analysis,course-v1:CurtinX+MKT3x+3T2017,经管·会计,20,671,817,130
159,C#程序设计,course-v1:UniversityXofChongqing+CST11002+2017_1,计算机,22,1354,1669,1270
160,C/C++程序设计,course-v1:CQU+CS1001001+2017-T1,计算机,22,2312,639,2196
161,C++程序设计入门,NNGLOBAL/gem01/2015_T2,计算机,22,1270,0,0
162,C++程序设计入门进阶篇,NNGLOBAL/mooc007/2015_T2,计算机,22,161,0,0
163,C++语言程序设计,course-v1:TsinghuaX+00740043-91+2016_T1,计算机,22,1270,0,0
164,C++语言程序设计基础,TsinghuaX/00740043X/2015_T1,计算机,22,163,0,0
165,C++语言程序设计进阶,TsinghuaX/00740043_2X/2015_T1,计算机,22,164,0,0
166,Caer o No caer. El Secreto de las Estructuras.,course-v1:UC3Mx+MMC.1x+3T2017,化学,3,0,0,0
167,Cálculo Diferencial,course-v1:GalileoX+CMath001Rx+3T2016,数学,13,0,0,0
168,Calculus 1A: Differentiation,course-v1:MITx+18.01.1x+2T2017,数学,13,663,0,0
169,Calculus 1B: Integration,course-v1:MITx+18.01.2x+3T2017,数学,13,829,0,0
170,Calculus 1C: Coordinate Systems & Infinite Series,course-v1:MITx+18.01.3x+2T2018,数学,13,169,0,0
171,Case Studies in Continuous Educational Improvement,course-v1:MichiganX+LeadEd504x+1T2017,教育,12,66,724,137
172,Case Studies in Functional Genomics,course-v1:HarvardX+PH525.7x+2T2017,生命科学,17,898,1114,898
173,CATTI翻译资格水平考试笔译备考基础课,course-v1:TW+2017060801X+sp,外语,7,0,0,0
174,Cellular Solids Part 2: Applications in Medicine,course-v1:MITx+3.054.2x_2+1T2017,生命科学,17,0,0,0
175,Cellular Solids Part 3: Applications in Nature,course-v1:MITx+3.054.3x_2+1T2017,生命科学,17,174,0,0
176,Cement Chemistry and Sustainable Cementitious Materials,course-v1:EPFLx+cementX+3T2017,化学,3,0,0,0
177,CET6改革,course-v1:WuhanUniversity+0001+20160320,教育,12,0,0,0
178,China’s Ancient Ritual Civilization,course-v1:TsinghuaX+00690212X+1T2017,历史,5,0,0,0
179,China’s Perspective on Climate Change | 应对气候变化的中国视角,course-v1:TsinghuaX+00460032x+3T2016,环境·地球,16,0,0,0
180,Chinese Culture and Communication 汉语和文化交际,course-v1:PekingX+20000003x+3T2016,外语,7,671,460,817
181,Chinese Thought: Ancient Wisdom Meets Modern Science - Part 1,course-v1:UBCx+China300.1x+3T2016,社科·法律,19,0,0,0
182,Chinese Thought: Ancient Wisdom Meets Modern Science - Part 2,course-v1:UBCx+China300.2x+3T2016,社科·法律,19,181,0,0
183,Christianisme et philosophie dans l’Antiquité,course-v1:SorbonneX+EG001x+2T2017,哲学,6,1053,166,457
184,Circular Economy,course-v1:WageningenX+BB05x+3T2017,经管·会计,20,671,817,130
185,Circular Economy: An Introduction,course-v1:Delftx+CircularX+3T2016,经管·会计,20,671,817,130
186,Citizen Engagement: A Game Changer for Development,course-v1:WBGx+CE01x+1T2017,社科·法律,19,0,0,0
187,Classroom Strategies for Inquiry-Based Learning,course-v1:UTAustinX+UT.IITL.11.02x+3T2016,教育,12,0,0,0
188,Climate Change: The Science,course-v1:UBCx+Climate1x+3T2016,环境·地球,16,0,0,0
189,Cloud Computing for Enterprises,course-v1:USMx+CC605x+2T2017,计算机,22,415,502,683
190,Cloud Computing Infrastructure,course-v1:USMx+CC615x+3T2017,计算机,22,191,0,0
191,Cloud Computing Management,course-v1:USMx+CC607x+2T2017,计算机,22,189,0,0
192,Cloud Computing Security,course-v1:USMx+CC617x+1T2018,计算机,22,190,0,0
193,Codificación de audio: Más allá del MP3,course-v1:UPValenciaX+MP3201x+2T2017,电子,18,659,1088,432
194,Combinatorial Mathematics 组合数学,course-v1:TsinghuaX+60240013x+3T2016,数学,13,0,0,0
195,Communicating in a Global Context,course-v1:ASUx+TGM579x+1T2017,社科·法律,19,0,0,0
196,Communicating Strategically,course-v1:PurdueX+PN-17.3+1T2017,社科·法律,19,195,0,0
197,Communication Acoustics,course-v1:RWTHx+CA101+3T2016,电子,18,817,1039,130
198,Communication Skills and Teamwork,course-v1:FullbridgeX+Career2x+3T2016,社科·法律,19,0,0,0
199,Communication Skills for Bridging Divides,course-v1:CatalystX+ILDIV1x+1T2017,社科·法律,19,0,0,0
200,Communiquer la responsabilité sociétale de l’entreprise (RSE),course-v1:LouvainX+Louv12x+2T2017,社科·法律,19,166,493,330
201,Cómo Convertirse en un Líder Exitoso (Entrenamiento de Liderazgo Inclusivo),course-v1:CatalystX+IL-BSL.S1x+2T2017,经管·会计,20,0,0,0
202,Cómo diagnosticar mis competencias de innovación,course-v1:UPValenciaX+LIDER201.4x+2T2017,经管·会计,20,0,0,0
203,Cómo implantar grupos de mejora de procesos,course-v1:UPValenciaX+GM201x+1T2017,经管·会计,20,0,0,0
204,Competitive Advantage,course-v1:Wharton+StrategyX+3T2017,经管·会计,20,0,0,0
205,Complex Analysis with Physical Applications,course-v1:MISiSx+18.11x+1T2017,物理,15,0,0,0
206,Compliance in Office 365??: Data Governance,course-v1:Microsoft+CLD206x+1T2017,计算机,22,0,0,0
207,Compliance in Office 365: eDiscovery,course-v1:Microsoft+CLD204x+1T2017,计算机,22,66,724,1015
208,Comprendre la respiration,course-v1:LouvainX+Louv8x+1T2017,生命科学,17,0,0,0
209,Computation Structures - Part 1: Digital Circuits,course-v1:MITx+6.004.1x_3+3T2016,计算机,22,0,0,0
210,Computation Structures 2: Computer Architecture,course-v1:MITx+6.004.2x_2+3T2016,计算机,22,374,209,123
211,Computation Structures 3: Computer Organization,course-v1:MITx+6.004.3x_2+1T2017,计算机,22,210,485,124
212,Computational Geometry,course-v1:TsinghuaX+70240183x+1T2017,计算机,22,521,1642,160
213,Computational Geometry: GIS CAD and Other Applications,course-v1:TsinghuaX+70240183x+3T2016,计算机,22,521,1642,160
214,Computational Probability and Inference,course-v1:MITx+6.008.1x+3T2016,计算机,22,0,0,0
215,Computational Thinking and Big Data,course-v1:AdelaideX+CompX+3T2017,计算机,22,0,0,0
216,Computer Forensics,course-v1:RITx+CYBER502x+2T2017,计算机,22,430,429,431
217,Computer Graphics,course-v1:UCSDx+CSE167x+1T2017,计算机,22,549,521,1642
218,Computer Networks,course-v1:scut+CN_english+2016_T1,计算机,22,0,0,0
219,Computer Networks and the Internet,course-v1:KironX+FHLCNx+2T2017,计算机,22,1053,166,457
220,Computing for Data Analysis,course-v1:GTx+CSE6040x+2T2017,计算机,22,214,215,0
221,Contract Law: From Trust to Promise to Contract,course-v1:Harvardx+HLS2X+3T2016,社科·法律,19,0,0,0
222,Corporate Finance,course-v1:IIMBx+FC101x+2T2017,经管·会计,20,0,0,0
223,Cours préparatoire: Fonctions Trigonométriques Logarithmiques et Exponentielles,course-v1:EPFLx+TrigoExpX+2T2017,数学,13,0,0,0
224,CQUMOOC,course-v1:EDS20502+661+2017T1,其他,1,0,0,0
225,Creating a Course with edX Studio,course-v1:edX+StudioX+3T2016,教育,12,2583,796,0
226,Creating a Master Data Solution with SQL Server Master Data Services (MDS),course-v1:Microsoft+DAT226x+1T2017,计算机,22,0,0,0
227,Creating Programmatic SQL Database Objects,course-v1:Microsoft+DAT215.2x+1T2017,计算机,22,749,796,832
228,Creating Video for the edX Platform,course-v1:edX+VideoX+3T2016,教育,12,14,2576,344
229,Creating Virtual Reality (VR) Apps,course-v1:UCSanDiegoX+CSE190x+3T2017,计算机,22,521,160,1642
230,Creative Problem Solving and Decision Making,course-v1:DelftX+TPM1x+1T2017,经管·会计,20,0,0,0
231,Creativity & Entrepreneurship,course-v1:BerkleeX+OENTR-391x+3T2016,经管·会计,20,0,0,0
232,Critical Development Perspectives,course-v1:UQx+LGDM4x+1T2017,经管·会计,20,195,281,894
233,CSS Basics,course-v1:W3Cx+CSS.0x+1T2017,计算机,22,0,0,0
234,CSS Introduction,course-v1:W3Cx+CSS.0x+1T2016,计算机,22,0,0,0
235,Cuidado al adulto mayor: una mirada al envejecimiento,course-v1:JaverianaX+CuiAdu.1701x12+2T2017,医学·健康,4,43,43,846
236,Culture of Services: New Perspective on Customer Relations,course-v1:KyotoUx+002x+1T2017,医学·健康,4,0,0,0
237,Customer Protection Rule 15C3-3,course-v1:NYIF+CPRx+2T2017,经管·会计,20,0,0,0
238,Customer Relationship Management (CRM),course-v1:IIMBx+MK210x+1T2017,经管·会计,20,0,0,0
239,Customer-Centric Innovation,course-v1:RWTHx+MTI002x+2T2017,经管·会计,20,0,0,0
240,Cyber Security Basics: A Hands-on Approach,course-v1:UC3Mx+INF.2x+1T2017,计算机,22,671,1053,749
241,Cyber Security Economics,course-v1:DelftX+Secon101x+3T2016,计算机,22,0,0,0
242,Cyber Security: Protecting Yourself and Your Data,course-v1:IEEEx+CS01+2T2016,计算机,22,0,0,0
243,Cybersecurity Capstone,course-v1:RITx+CYBER525x+3T2017,计算机,22,277,278,642
244,Cybersecurity Fundamentals,course-v1:RITx+CYBER501x+1T2017,计算机,22,0,0,0
245,Cybersecurity Risk Management,course-v1:RITx+CYBER503x+2T2017,计算机,22,430,429,431
246,Cybersecurity: Career Self-Assessment,course-v1:UWashingtonX+CYB004x+1T2017,计算机,22,0,0,0
247,Cybersecurity: The CISO's View,course-v1:UWashingtonX+CYB002x+1T2017,计算机,22,0,0,0
248,C程序设计案例教程,CAU/08110140/2015_T1,计算机,22,250,0,0
249,C君带你玩编程,course-v1:KMUSTX+3102003+sp,计算机,22,1266,1268,639
250,C语言程序设计,ChengDuU/04420030/2014_T2,计算机,22,0,0,0
251,C语言程序设计与数据结构,course-v1:NJUEE+18001130+2015_2016_T1,计算机,22,250,0,0
252,C语言综合项目实战,course-v1:CDU+04420040+2015_T1,计算机,22,251,249,248
253,Data Analysis Essentials for MBA Success,course-v1:ImperialBusinessX+ICBS004+3T2016,经管·会计,20,2222,2327,2324
254,Data Analysis for Social Scientists,course-v1:MITx+14.310x+1T2017,经管·会计,20,0,0,0
255,Data Analysis: Building Your Own Business Dashboard,course-v1:DelftX+EX103x+1T2017,经管·会计,20,256,0,0
256,Data Analysis: Take It to the MAX(),course-v1:DelftX+EX101x+3T2016,经管·会计,20,898,1114,898
257,Data Analysis: Visualization and Dashboard Design,course-v1:DelftX+EX102+1T2017,经管·会计,20,256,0,0
258,Data Analytics in Business,course-v1:GTx+MGT6203x+2T2017,经管·会计,20,220,539,0
259,Data Analytics in Health – From Basics to Business,course-v1:KULeuvenX+DAHx+3T2016,经管·会计,20,0,0,0
260,Data Cleansing with Data Quality Services (DQS),course-v1:Microsoft+DAT218x+1T2017,计算机,22,60,0,226
261,Data Mining: Theories and Algorithms for Tackling Big Data,course-v1:TsinghuaX+80240372X+1T2017,计算机,22,54,38,383
262,Data Models and Decisions in Business Analytics,course-v1:ColumbiaX+BAMM.102x+2T2017,经管·会计,20,898,1114,898
